Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
63.6,215311560,845,254806.6,7321.0,4330,28874759,1976192.5,cudaLaunchKernel
17.8,60174822,20,3008741.1,2993994.5,2856350,3151680,80111.8,cudaEventSynchronize
12.8,43424034,66,657939.9,554159.5,1670,3026406,827047.0,cudaStreamSynchronize
1.8,5971888,27,221181.0,173346.0,112194,477857,111256.5,cudaMalloc
0.9,3165111,2,1582555.5,1582555.5,1572315,1592796,14482.3,cudaGetDeviceProperties_v2_v12000
0.9,2928222,2,1464111.0,1464111.0,6410,2921812,2061500.5,cudaDeviceSynchronize
0.8,2622072,66,39728.4,12190.5,7880,893211,124404.3,cudaMemcpyAsync
0.7,2528498,2,1264249.0,1264249.0,22441,2506057,1756181.7,cudaHostAlloc
0.4,1500855,226,6641.0,5725.5,4220,23661,3353.9,cudaMemsetAsync
0.1,380255,40,9506.4,9541.0,5891,13770,1789.4,cudaEventRecordWithFlags_v11010
0.0,128766,40,3219.2,2990.0,1240,11991,1716.9,cudaEventCreateWithFlags
0.0,107453,79,1360.2,1090.0,520,4930,919.4,cudaStreamIsCapturing_v10000
0.0,62803,40,1570.1,1400.0,600,8240,1292.5,cudaEventDestroy
0.0,60292,40,1507.3,1125.5,590,3180,843.3,cudaEventQuery
0.0,1290,1,1290.0,1290.0,1290,1290,0.0,cuModuleGetLoadingMode
