Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
74.1,162549634,28,5805344.1,2221333.0,1858485,86592467,15874343.5,PushPop,gsplat:render
3.1,6908301,56,123362.5,27081.0,18760,5332246,708818.1,PushPop,CCCL:cub::DeviceScan::InclusiveScan
1.6,3587469,28,128123.9,129299.0,94063,239789,28651.7,PushPop,CCCL:cub::DeviceRadixSort
1.4,3135209,1,3135209.0,3135209.0,3135209,3135209,0.0,PushPop,:iteration_1
1.2,2568939,1,2568939.0,2568939.0,2568939,2568939,0.0,PushPop,:iteration_9
1.1,2504698,1,2504698.0,2504698.0,2504698,2504698,0.0,PushPop,:iteration_6
1.1,2440085,1,2440085.0,2440085.0,2440085,2440085,0.0,PushPop,:iteration_7
1.1,2428825,1,2428825.0,2428825.0,2428825,2428825,0.0,PushPop,:iteration_13
1.1,2425945,1,2425945.0,2425945.0,2425945,2425945,0.0,PushPop,:iteration_19
1.1,2417605,1,2417605.0,2417605.0,2417605,2417605,0.0,PushPop,:iteration_10
1.1,2409074,1,2409074.0,2409074.0,2409074,2409074,0.0,PushPop,:iteration_12
1.1,2399044,1,2399044.0,2399044.0,2399044,2399044,0.0,PushPop,:iteration_5
1.1,2382534,1,2382534.0,2382534.0,2382534,2382534,0.0,PushPop,:iteration_4
1.1,2359403,1,2359403.0,2359403.0,2359403,2359403,0.0,PushPop,:iteration_8
1.1,2319071,1,2319071.0,2319071.0,2319071,2319071,0.0,PushPop,:iteration_11
1.0,2235879,1,2235879.0,2235879.0,2235879,2235879,0.0,PushPop,:iteration_0
1.0,2180006,1,2180006.0,2180006.0,2180006,2180006,0.0,PushPop,:iteration_14
1.0,2149125,1,2149125.0,2149125.0,2149125,2149125,0.0,PushPop,:iteration_18
1.0,2091593,1,2091593.0,2091593.0,2091593,2091593,0.0,PushPop,:iteration_16
0.9,2023681,1,2023681.0,2023681.0,2023681,2023681,0.0,PushPop,:iteration_3
0.9,2009960,1,2009960.0,2009960.0,2009960,2009960,0.0,PushPop,:iteration_17
0.9,1997840,1,1997840.0,1997840.0,1997840,1997840,0.0,PushPop,:iteration_2
0.9,1976029,1,1976029.0,1976029.0,1976029,1976029,0.0,PushPop,:iteration_15
